Release_Date	Polling_Start	Polling_End	NrParticipants CDU/CSU	SPD	GRÜNE	FDP	LINKE	AFD	SONSTIGE
24.08.2016	15.08.2016	19.08.2016	2504	35	22	12	6	9	10	6
17.08.2016	08.08.2016	12.08.2016	2501	36	21	13	6	9	9	6
10.08.2016	01.08.2016	05.08.2016	2501	36	21	13	5	10	9	6
03.08.2016	25.07.2016	29.07.2016	2508	35	23	12	6	9	9	6
26.07.2016	18.07.2016	22.07.2016	2508	35	22	13	6	9	9	6
20.07.2016	11.07.2016	15.07.2016	2502	35	22	12	7	9	9	6
13.07.2016	04.07.2016	08.07.2016	2503	36	23	12	6	9	8	6
06.07.2016	27.06.2016	01.07.2016	2504	35	21	13	6	10	9	6
28.06.2016	20.06.2016	24.06.2016	2501	34	22	12	6	9	10	7
22.06.2016	13.06.2016	17.06.2016	2503	33	21	13	6	9	11	7
15.06.2016	06.06.2016	10.06.2016	2505	33	21	13	6	10	11	6
08.06.2016	30.05.2016	03.06.2016	2501	34	21	13	7	10	10	5
01.06.2016	23.05.2016	27.05.2016	2502	34	21	13	6	9	10	7
24.05.2016	17.05.2016	20.05.2016	2006	33	20	14	6	9	12	6
17.05.2016	09.05.2016	13.05.2016	2501	34	19	14	7	9	11	6
11.05.2016	02.05.2016	06.05.2016	2002	34	21	13	8	9	10	5
03.05.2016	25.04.2016	29.04.2016	2501	34	21	13	8	9	9	6
27.04.2016	18.04.2016	22.04.2016	2502	33	22	13	8	9	10	5
20.04.2016	11.04.2016	15.04.2016	2504	34	21	13	7	9	11	5
13.04.2016	04.04.2016	08.04.2016	2506	34	21	14	7	9	10	5
06.04.2016	29.03.2016	01.04.2016	2004	35	21	13	7	8	10	6
30.03.2016	21.03.2016	24.03.2016	2005	36	20	13	7	8	10	6
22.03.2016	14.03.2016	18.03.2016	2501	35	20	13	6	8	13	5
16.03.2016	07.03.2016	11.03.2016	2505	35	22	10	7	10	11	5
09.03.2016	29.02.2016	04.03.2016	2501	35	23	11	6	9	10	6
02.03.2016	22.02.2016	26.02.2016	2503	35	24	10	6	10	9	6
24.02.2016	15.02.2016	19.02.2016	2502	35	24	10	6	10	10	5
17.02.2016	08.02.2016	12.02.2016	2501	35	23	11	6	10	9	6
10.02.2016	01.02.2016	05.02.2016	2500	36	24	10	5	9	10	6
03.02.2016	25.01.2016	29.01.2016	2501	36	24	10	5	9	10	6
27.01.2016	18.01.2016	22.01.2016	2505	36	24	10	5	10	10	5
19.01.2016	11.01.2016	15.01.2016	2501	37	23	10	5	9	10	6
13.01.2016	04.01.2016	08.01.2016	2503	38	23	10	5	10	9	5
06.01.2016	28.12.2016	30.12.2016	1503	38	23	10	5	10	8	6
29.12.2015	21.12.2015	23.12.2015	1501	38	23	10	5	10	8	6
22.12.2015	14.12.2015	18.12.2015	2504	39	24	10	4	10	8	5
15.12.2015	07.12.2015	11.12.2015	2502	39	24	11	4	9	8	5
09.12.2015	30.11.2015	04.12.2015	2506	38	24	10	4	9	8	7
02.12.2015	23.11.2015	27.11.2015	2501	39	24	10	5	9	6	7
25.11.2015	16.11.2015	22.11.2015	2502	39	24	10	5	9	7	6
17.11.2015	09.11.2015	13.11.2015	2504	36	25	10	5	9	8	7
11.11.2015	02.11.2015	06.11.2015	2503	38	25	10	5	8	7	7
04.11.2015	26.10.2015	30.10.2015	2504	36	24	11	5	9	7	8
